title,released,rating_x,ratings_count_x,metacritic_score,genres,platforms,developer,publisher,rating_y,user score,ratings_count_y
GUNDAM VERSUS,2017-09-29,,,,VEHICLE COMBAT SIM,PLAYSTATION 4,BANDAI NAMCO GAMES,BANDAI NAMCO GAMES,RATED T FOR TEEN,6.4,52.0
GUNDEADLIGNE,2011-09-27,,13.0,,,,,,,,
GUNDEMONIUM RECOLLECTION,2011-09-27,,15.0,,,,,,,,
GUNFIGHTER THE LEGEND OF JESSE JAMES,2001-11-30,,,,LIGHT GUN,PLAYSTATION,REBELLION,UBISOFT,RATED T FOR TEEN,5.5,0.0
GUNFIRE REBORN,2020-05-22,MATURE,111.0,,,,,,,,
GUNFIRE REBORN,2022-10-27,,,,FPS,PC,DUOYI GAMES,505 GAMES,RATED T FOR TEEN,7.0,22.0
GUNGIRL 2,2016-09-01,,2.0,,,,,,,,
GUNGNIR,2012-06-12,,,,TURN-BASED TACTICS,PSP,STING,ATLUS,RATED T FOR TEEN,8.3,34.0
GUNGRAVE,2002-09-16,,,,THIRD PERSON SHOOTER,PLAYSTATION 2,RED ENTERTAINMENT,SEGA,RATED M FOR MATURE,7.7,24.0
GUNGRAVE GORE,2022-11-22,,,,THIRD PERSON SHOOTER,PLAYSTATION 4,IGGYMOB,KOCH MEDIA,RATED M FOR MATURE,6.3,41.0
GUNGRAVE OVERDOSE,2004-09-15,,,,THIRD PERSON SHOOTER,PLAYSTATION 2,RED ENTERTAINMENT,MASTIFF,RATED M FOR MATURE,6.7,14.0
GUNGRAVE VR,2018-12-11,,,,LIGHT GUN,PLAYSTATION 4,IGGYMOB,XSEED GAMES,RATED T FOR TEEN,4.2,23.0
GUNGRAVE: G.O.R.E.,2022-11-22,MATURE,32.0,57.0,,,,,,,
GUNGRIFFON ALLIED STRIKE,2004-12-14,,,,VEHICLE COMBAT SIM,XBOX,GAME ARTS,TECMO,RATED T FOR TEEN,0.0,0.0
GUNGRIFFON BLAZE,2000-10-24,,,,VEHICLE COMBAT SIM,PLAYSTATION 2,GAME ARTS,WORKING DESIGNS,RATED T FOR TEEN,0.0,0.0
GUNHOUSE,2016-11-19,EVERYONE 10+,20.0,,,,,,,,
GUNMAN CHRONICLES,2000-11-19,,,,FPS,PC,REWOLF SOFTWARE,SIERRA ENTERTAINMENT,RATED M FOR MATURE,6.8,26.0
GUNMAN CLIVE,2012-04-03,EVERYONE 10+,38.0,,,,,,,,
GUNMAN CLIVE,2013-01-03,,,,2D PLATFORMER,3DS,HORBERG PRODUCTIONS,HORBERG PRODUCTIONS,RATED E +10 FOR EVERYONE +10,7.8,105.0
GUNMAN CLIVE 2,2015-01-29,,,,2D PLATFORMER,3DS,HORBERG PRODUCTIONS,HORBERG PRODUCTIONS,RATED E +10 FOR EVERYONE +10,7.7,53.0
GUNMAN CLIVE HD COLLECTION,2015-09-03,,,,COMPILATION,WII U,HORBERG PRODUCTIONS,HORBERG PRODUCTIONS,RATED E +10 FOR EVERYONE +10,8.2,40.0
GUNMETAL ARCADIA ZERO,2016-11-15,,8.0,,,,,,,,
GUNNER Z,2013-10-02,,,,ACTION,IOS (IPHONE/IPAD),"BITMONSTER, INC.","BITMONSTER, INC.",,0.0,0.0
GUNNHEIM,2015-10-16,,10.0,,,,,,,,
GUNPEY DS,2006-11-17,,,,PUZZLE,PSP,Q ENTERTAINMENT,NAMCO BANDAI GAMES,RATED E +10 FOR EVERYONE +10,4.5,0.0
GUNPOINT,2013-06-03,,288.0,83.0,,,,,,,
GUNPOINT,2013-06-03,,,,PUZZLE,PC,TOM FRANCIS,TOM FRANCIS,,8.3,410.0
GUNS AND ROBOTS,2014-08-04,,34.0,,,,,,,,
GUNS GORE & CANNOLI,2015-04-30,,,,2D PLATFORMER,PC,CLAEYS BROTHERS ARTS,CRAZY MONKEY STUDIOS,RATED T FOR TEEN,7.6,54.0
GUNS GORE & CANNOLI 2,2018-03-02,,,,THIRD PERSON SHOOTER,PC,CRAZY MONKEY STUDIOS,CRAZY MONKEY STUDIOS,,7.8,53.0
GUNS N ZOMBIES,2014-06-02,,16.0,,,,,,,,
GUNS OF ICARUS ALLIANCE,2017-03-31,,226.0,,,,,,,,
GUNS OF ICARUS ALLIANCE,2018-05-01,,,,SPACE COMBAT SIM,PLAYSTATION 4,MUSE GAMES,MUSE GAMES,RATED T FOR TEEN,4.0,10.0
GUNS OF ICARUS ONLINE,2012-09-30,,399.0,64.0,,,,,,,
GUNS OF ICARUS ONLINE,2012-10-29,,,,AIRCRAFT COMBAT SIM,PC,MUSE GAMES,MUSE GAMES,,7.7,337.0
GUNS UP!,2015-05-19,TEEN,69.0,,,,,,,,
GUNS UP!,2015-12-05,,,,REAL-TIME STRATEGY,PLAYSTATION 4,VALKYRIE ENTERTAINMENT,SCEA,RATED T FOR TEEN,6.2,57.0
GUNS'N'STORIES: PREFACE VR,,,8.0,,,,,,,,
"GUNS, GORE & CANNOLI",2015-04-29,,123.0,74.0,,,,,,,
"GUNS, GORE AND CANNOLI 2",2018-03-01,,86.0,78.0,,,,,,,
GUNSCAPE,2016-03-01,TEEN,17.0,,,,,,,,
GUNSCAPE,2016-03-01,,,,FPS,XBOX ONE,BLOWFISH STUDIOS,BLOWFISH STUDIOS,RATED T FOR TEEN,5.0,0.0
GUNSLINGERS,2011-08-05,,8.0,,,,,,,,
GUNSLUGS,2014-02-18,,,,2D PLATFORMER,IOS (IPHONE/IPAD),ABSTRACTION GAMES,ABSTRACTION GAMES,RATED T FOR TEEN,6.9,23.0
GUNSPELL,2014-11-07,,22.0,,,,,,,,
GUNSTAR HEROES,1993-09-09,EVERYONE 10+,64.0,75.0,,,,,,,
GUNSTAR HEROES,2015-08-20,,,,2D PLATFORMER,3DS,M2,SEGA,RATED E +10 FOR EVERYONE +10,7.9,42.0
GUNSTAR SUPER HEROES,2005-10-25,,,,2D PLATFORMER,GAME BOY ADVANCE,TREASURE,SEGA,RATED E +10 FOR EVERYONE +10,7.3,12.0
GUNVALKYRIE,2002-03-18,,,,THIRD PERSON SHOOTER,XBOX,SMILEBIT,SEGA,RATED T FOR TEEN,6.0,10.0
GUNVOLT CHRONICLES LUMINOUS AVENGER IX,2019-09-26,,,,2D PLATFORMER,NINTENDO SWITCH,INTI CREATES,INTI CREATES,RATED T FOR TEEN,8.0,28.0
GUNVOLT CHRONICLES LUMINOUS AVENGER IX 2,2022-01-27,,,,2D PLATFORMER,NINTENDO SWITCH,INTI CREATES,INTI CREATES,RATED T FOR TEEN,7.4,7.0
GUNWORLD 2,2016-05-13,,,,ACTION,XBOX ONE,M07 GAMES,M07 GAMES,RATED E +10 FOR EVERYONE +10,7.0,0.0
GUNZ 2: THE SECOND DUEL,2014-05-01,,47.0,,,,,,,,
GURGAMOTH,2016-02-16,EVERYONE 10+,7.0,,,,,,,,
GURUMIN A MONSTROUS ADVENTURE,2007-02-12,,,,ACTION RPG,3DS,FALCOM,MASTIFF,RATED E +10 FOR EVERYONE +10,7.8,29.0
GURUMIN: A MONSTROUS ADVENTURE,2006-06-29,EVERYONE 10+,20.0,75.0,,,,,,,
GUTS AND GLORY,2017-02-15,MATURE,35.0,,,,,,,,
GUWANGE,2010-11-10,,,,VERTICAL SHOOT-'EM-UP,XBOX 360,CAVE,CAVE,RATED T FOR TEEN,8.0,10.0
GWENT ROGUE MAGE,2022-07-07,,,,BOARD,IOS (IPHONE/IPAD),CD PROJEKT RED STUDIO,CD PROJEKT RED STUDIO,,5.4,29.0
GWENT: THE WITCHER CARD GAME,2018-10-23,TEEN,995.0,80.0,,,,,,,
GYLT,2023-07-06,,,,ACTION ADVENTURE,PC,TEQUILA WORKS,TEQUILA WORKS,RATED T FOR TEEN,7.5,15.0
GYRO13 STEAM COPTER ARCADE HD,2011-09-21,,,,PUZZLE,IOS (IPHONE/IPAD),CINEMAX,CINEMAX,,6.6,11.0
GYROMANCER,2009-11-18,TEEN,17.0,71.0,,,,,,,
GYROMANCER,2009-11-18,,,,MATCHING PUZZLE,XBOX 360,POPCAP,SQUARE ENIX,RATED T FOR TEEN,7.0,0.0
GYROSTARR,2008-06-23,,,,TOP-DOWN SHOOT-'EM-UP,WII,HIGH VOLTAGE SOFTWARE,HIGH VOLTAGE SOFTWARE,RATED E FOR EVERYONE,7.2,6.0
GYRUSS,2007-04-18,,,,RAIL SHOOTER,XBOX 360,DIGITAL ECLIPSE,KONAMI,RATED E FOR EVERYONE,0.0,0.0
H1Z1 BATTLE ROYALE,2018-08-07,,,,TACTICAL FPS,PC,DAYBREAK GAMES,DAYBREAK GAMES,RATED T FOR TEEN,3.8,86.0
H1Z1(ITCH),2017-10-03,TEEN,23.0,,,,,,,,
H1Z1: BATTLE ROYALE,2018-05-22,TEEN,65.0,,,,,,,,
H1Z1: JUST SURVIVE,2015-01-15,,94.0,,,,,,,,
H1Z1: KING OF THE KILL,2016-02-17,,339.0,,,,,,,,
HABROXIA 2,2021-02-03,,,,HORIZONTAL SHOOT-'EM-UP,PC,LILLYMO GAMES,EASTASIASOFT,RATED T FOR TEEN,0.0,0.0
HACK 'N' SLASH,2014-09-09,,45.0,73.0,,,,,,,
HACK 'N' SLASH,2014-09-09,,,,2D PLATFORMER,PC,DOUBLE FINE PRODUCTIONS,DOUBLE FINE PRODUCTIONS,RATED E FOR EVERYONE,5.2,41.0
"HACK, SLASH, LOOT",2012-01-23,EVERYONE 10+,26.0,,,,,,,,
HACKER EVOLUTION,2010-09-14,,53.0,,,,,,,,
HACKER EVOLUTION DUALITY,2011-08-15,,39.0,,,,,,,,
HACKER EVOLUTION: UNTOLD,2010-09-14,,41.0,,,,,,,,
HACKGU LAST RECODE,2017-11-03,,,,COMPILATION,PLAYSTATION 4,CYBERCONNECT2,BANDAI NAMCO GAMES,RATED T FOR TEEN,8.2,74.0
HACKGU VOL 1REBIRTH,2006-10-24,,,,ACTION RPG,PLAYSTATION 2,CYBERCONNECT2,NAMCO BANDAI GAMES,RATED T FOR TEEN,7.8,32.0
HACKGU VOL 2REMINISCE,2007-05-08,,,,ACTION RPG,PLAYSTATION 2,CYBERCONNECT2,NAMCO BANDAI GAMES,RATED T FOR TEEN,8.1,18.0
HACKGU VOL 3REDEMPTION,2007-09-10,,,,ACTION RPG,PLAYSTATION 2,CYBERCONNECT2,NAMCO BANDAI GAMES,RATED T FOR TEEN,8.9,23.0
HACKINFECTION PART 1,2003-02-10,,,,ACTION RPG,PLAYSTATION 2,CYBERCONNECT2,BANDAI,RATED T FOR TEEN,7.5,31.0
HACKMUTATION PART 2,2003-05-06,,,,ACTION RPG,PLAYSTATION 2,CYBERCONNECT2,BANDAI,RATED T FOR TEEN,6.0,21.0
HACKNET,2015-08-11,MATURE,478.0,82.0,,,,,,,
HACKNET,2015-08-12,,,,MISCELLANEOUS,PC,ORANN,FELLOW TRAVELLER,RATED T FOR TEEN,7.9,81.0
HACKOUTBREAK PART 3,2003-09-09,,,,ACTION RPG,PLAYSTATION 2,CYBERCONNECT2,BANDAI,RATED T FOR TEEN,7.2,11.0
HACKQUARANTINE PART 4,2004-01-14,,,,ACTION RPG,PLAYSTATION 2,CYBERCONNECT2,BANDAI,RATED T FOR TEEN,6.7,13.0
HACKYCAT,2013-02-14,,,,ACTION,IOS (IPHONE/IPAD),,,,0.0,0.0
HACKYZACK,2017-03-28,,13.0,,,,,,,,
HACK_ME,2017-01-05,,34.0,,,,,,,,
HACK_ME 2,2017-03-11,,20.0,,,,,,,,
HADES,2018-12-06,,,,ROGUELIKE,PC,SUPERGIANT GAMES,SUPERGIANT GAMES,RATED T FOR TEEN,8.8,2151.0
HADES,2020-09-17,TEEN,1846.0,93.0,,,,,,,
HADES II,2024-05-06,,5.0,,,,,,,,
HAEGEMONIA: LEGIONS OF IRON [I],2002-11-18,,18.0,,,,,,,,
HAEGEMONIA: THE SOLON HERITAGE,2014-05-01,,8.0,,,,,,,,
"HAIKU, THE ROBOT",2021-10-25,,13.0,,,,,,,,
HAIL TO THE CHIMP,2008-07-02,,,,PARTY,XBOX 360,WIDELOAD GAMES INC.,GAMECOCK MEDIA GROUP,RATED T FOR TEEN,5.8,5.0
HAIMRIK,2017-05-11,,14.0,,,,,,,,
HAKUOKI EDO BLOSSOMS,2018-03-13,,,,VISUAL NOVEL,PLAYSTATION VITA,OTOMATE,IDEA FACTORY,RATED M FOR MATURE,6.8,13.0
HAKUOKI KYOTO WINDS,2017-05-16,,,,VISUAL NOVEL,PLAYSTATION VITA,IDEA FACTORY,IDEA FACTORY,RATED M FOR MATURE,8.1,13.0
HAKUOKI MEMORIES OF THE SHINSENGUMI,2013-09-19,,,,VISUAL NOVEL,3DS,IDEA FACTORY,AKSYS GAMES,RATED M FOR MATURE,7.8,20.0
HALCYON 6 STARBASE COMMANDER,2016-04-20,,,,TURN-BASED TACTICS,PC,"MASSIVE DAMAGE, INC.","MASSIVE DAMAGE, INC.",,7.5,22.0
HALCYON 6: LIGHTSPEED EDITION,2017-08-10,TEEN,40.0,73.0,,,,,,,
HALCYON 6: STARBASE COMMANDER,2016-09-08,TEEN,39.0,71.0,,,,,,,
HALF DEAD,2016-08-01,MATURE,31.0,,,,,,,,
HALF DEAD 2,,,20.0,,,,,,,,
HALF MINUTE HERO: SUPER MEGA NEO CLIMAX ULTIMATE BOY,2012-09-27,,66.0,75.0,,,,,,,
HALF MINUTE HERO: THE SECOND COMING,2014-04-04,,12.0,79.0,,,,,,,
HALF PAST FATE,2020-03-12,,,,ADVENTURE,PC,SERENITY FORGE,WAY DOWN DEEP,RATED E FOR EVERYONE,0.0,0.0
HALF PAST FATE ROMANTIC DISTANCING,2021-02-14,,,,ADVENTURE,PC,SERENITY FORGE,WAY DOWN DEEP,,0.0,0.0
HALF-LIFE,1998-11-08,MATURE,2264.0,96.0,,,,,,,
HALF-LIFE 2,2004-11-16,MATURE,3820.0,96.0,,,,,,,
HALF-LIFE 2: DEATHMATCH,2004-11-01,MATURE,881.0,,,,,,,,
HALF-LIFE 2: DOWNFALL,2017-04-17,,33.0,,,,,,,,
HALF-LIFE 2: EPISODE ONE,2006-06-01,MATURE,1963.0,87.0,,,,,,,
HALF-LIFE 2: EPISODE TWO,2007-10-10,MATURE,1921.0,90.0,,,,,,,
HALF-LIFE 2: LOST COAST,2005-10-27,MATURE,1142.0,,,,,,,,
HALF-LIFE 2: UPDATE,2015-03-27,MATURE,122.0,96.0,,,,,,,
HALF-LIFE DEATHMATCH: SOURCE,2006-05-01,MATURE,709.0,,,,,,,,
HALF-LIFE: A PLACE IN THE WEST,2016-09-29,,27.0,,,,,,,,
HALF-LIFE: ALYX,2020-03-23,MATURE,428.0,93.0,,,,,,,
HALF-LIFE: BEFORE,2009-03-05,,19.0,,,,,,,,
HALF-LIFE: BLUE SHIFT,2001-06-01,MATURE,721.0,71.0,,,,,,,
HALF-LIFE: OPPOSING FORCE,1999-11-01,MATURE,709.0,,,,,,,,
HALF-LIFE: SOURCE,2004-06-01,MATURE,537.0,,,,,,,,
HALFBRICK ECHOES,2009-11-19,,,,ACTION PUZZLE,PSP,HALFBRICK STUDIOS,HALFBRICK STUDIOS,RATED E FOR EVERYONE,6.2,5.0
HALFBRICK ROCKET RACING,2010-03-11,,,,AUTO RACING,PSP,HALFBRICK STUDIOS,HALFBRICK STUDIOS,RATED E FOR EVERYONE,0.0,0.0
HALFINCH HEIST,2013-01-24,,,,ACTION,IOS (IPHONE/IPAD),,,,0.0,0.0
HALFLIFE,1998-11-19,,,,FPS,PC,VALVE SOFTWARE,SIERRA ENTERTAINMENT,RATED M FOR MATURE,9.1,4847.0
HALFLIFE 2,2004-11-16,,,,FPS,PC,VALVE SOFTWARE,VU GAMES,RATED M FOR MATURE,9.1,9098.0
HALFLIFE 2 EPISODE ONE,2006-06-01,,,,FPS,PC,VALVE SOFTWARE,VALVE SOFTWARE,RATED M FOR MATURE,8.7,1743.0
HALFLIFE 2 EPISODE TWO,2007-10-10,,,,FPS,PC,VALVE SOFTWARE,VALVE SOFTWARE,RATED M FOR MATURE,9.1,2040.0
HALFLIFE ALYX,2020-03-23,,,,FPS,PC,VALVE SOFTWARE,VALVE SOFTWARE,,9.2,2876.0
HALFLIFE BLUE SHIFT,2001-06-11,,,,FPS,PC,GEARBOX SOFTWARE,SIERRA ENTERTAINMENT,RATED M FOR MATURE,7.6,437.0
HALFMINUTE HERO,2009-10-13,,,,RPG,PSP,OPUS,XSEED GAMES,RATED E +10 FOR EVERYONE +10,8.2,57.0
HALFMINUTE HERO SUPER MEGA NEO CLIMAX,2011-06-29,,,,ACTION RPG,XBOX 360,OPUS,MICROSOFT GAME STUDIOS,RATED E FOR EVERYONE,8.0,11.0
HALFWAY,2014-07-21,,26.0,,,,,,,,
HALFWAY,2014-07-22,,,,TURN-BASED TACTICS,PC,ROBOTALITY,CHUCKLEFISH,,6.2,20.0
HALLS OF TORMENT,2023-05-24,,27.0,,,,,,,,
HALO 2,2004-11-09,MATURE,356.0,84.0,,,,,,,
HALO 2,2004-11-09,,,,FPS,PC,BUNGIE,MICROSOFT GAME STUDIOS,RATED M FOR MATURE,8.9,1941.0
HALO 2 MULTIPLAYER MAP PACK,2005-07-05,,,,FPS,XBOX,BUNGIE,MICROSOFT GAME STUDIOS,RATED M FOR MATURE,9.8,24.0
HALO 2: ANNIVERSARY,2014-11-11,,92.0,71.0,,,,,,,
HALO 3,2007-09-25,MATURE,753.0,91.0,,,,,,,
HALO 3,2007-09-25,,,,FPS,XBOX 360,BUNGIE,MICROSOFT GAME STUDIOS,RATED M FOR MATURE,8.8,3104.0
HALO 3 ODST,2009-09-22,,,,FPS,XBOX 360,BUNGIE,MICROSOFT GAME STUDIOS,RATED M FOR MATURE,7.9,1147.0
HALO 3: ODST,2009-09-22,MATURE,418.0,83.0,,,,,,,
HALO 4,2012-11-06,MATURE,555.0,86.0,,,,,,,
HALO 4,2012-11-06,,,,FPS,XBOX 360,343 INDUSTRIES,MICROSOFT GAME STUDIOS,RATED M FOR MATURE,7.1,3971.0
HALO 5 GUARDIANS,2015-10-27,,,,FPS,XBOX ONE,343 INDUSTRIES,MICROSOFT GAME STUDIOS,RATED T FOR TEEN,6.4,3770.0
HALO 5: GUARDIANS,2015-10-27,TEEN,530.0,84.0,,,,,,,
HALO 5: GUARDIANS,2015-10-27,TEEN,530.0,84.0,,,,,,,
HALO COMBAT EVOLVED,2001-11-15,,,,FPS,PC,BUNGIE,MICROSOFT GAME STUDIOS,RATED M FOR MATURE,8.7,2907.0
HALO COMBAT EVOLVED ANNIVERSARY,2011-11-15,,,,FPS,XBOX 360,343 INDUSTRIES,MICROSOFT GAME STUDIOS,RATED M FOR MATURE,8.0,700.0
HALO INFINITE,2021-11-15,,,,FPS,PC,343 INDUSTRIES,XBOX GAME STUDIOS,RATED T FOR TEEN,7.8,5863.0
HALO INFINITE,2021-12-08,TEEN,685.0,84.0,,,,,,,
HALO REACH,2010-09-14,,,,FPS,XBOX 360,BUNGIE,MICROSOFT GAME STUDIOS,RATED M FOR MATURE,8.4,3151.0
HALO REACH REMASTERED,2019-12-03,,,,FPS,PC,343 INDUSTRIES,XBOX GAME STUDIOS,RATED M FOR MATURE,7.4,203.0
HALO SPARTAN ASSAULT,2013-12-23,,,,TOP-DOWN SHOOT-'EM-UP,PC,343 INDUSTRIES,MICROSOFT GAME STUDIOS,RATED T FOR TEEN,4.6,293.0
HALO SPARTAN STRIKE,2015-04-16,,,,TOP-DOWN SHOOT-'EM-UP,PC,343 INDUSTRIES,MICROSOFT GAME STUDIOS,RATED T FOR TEEN,6.4,52.0
HALO THE MASTER CHIEF COLLECTION,2014-11-11,,,,COMPILATION,XBOX ONE,343 INDUSTRIES,MICROSOFT GAME STUDIOS,RATED M FOR MATURE,7.9,1992.0
HALO WARS,2009-03-03,,,,COMMAND RTS,XBOX 360,ENSEMBLE STUDIOS,MICROSOFT GAME STUDIOS,RATED T FOR TEEN,7.6,453.0
HALO WARS,2010-08-11,TEEN,163.0,82.0,,,,,,,
HALO WARS 2,2017-02-17,,,,REAL-TIME STRATEGY,XBOX ONE,CREATIVE ASSEMBLY,MICROSOFT GAME STUDIOS,RATED T FOR TEEN,6.5,622.0
HALO WARS 2,2017-02-21,TEEN,170.0,79.0,,,,,,,
HALO WARS DEFINITIVE EDITION,2017-02-21,,,,COMMAND RTS,XBOX ONE,MICROSOFT GAME STUDIOS,MICROSOFT GAME STUDIOS,RATED T FOR TEEN,7.8,139.0
HALO WARS: DEFINITIVE EDITION,2017-04-20,,159.0,81.0,,,,,,,
HALO WAYPOINT,2010-09-09,MATURE,177.0,,,,,,,,
HALO: COMBAT EVOLVED,2001-11-15,MATURE,425.0,90.0,,,,,,,
HALO: COMBAT EVOLVED ANNIVERSARY,2011-11-15,MATURE,165.0,80.0,,,,,,,
HALO: REACH,2010-09-14,MATURE,750.0,91.0,,,,,,,
HALO: SPARTAN ASSAULT,2013-07-18,,213.0,70.0,,,,,,,
HALO: SPARTAN STRIKE,2015-04-16,TEEN,75.0,,,,,,,,
HALO: THE MASTER CHIEF COLLECTION,2014-11-11,,1061.0,85.0,,,,,,,
HALP!,2016-08-01,,1.0,,,,,,,,
HAMILTON'S GREAT ADVENTURE,2011-05-31,,30.0,77.0,,,,,,,
HAMILTON'S GREAT ADVENTURE,2011-08-23,,,,ADVENTURE,PLAYSTATION 3,FATSHARK,FATSHARK,RATED E FOR EVERYONE,5.1,7.0
"HAMLET OR THE LAST GAME WITHOUT MMORPG FEATURES, SHADERS ...",2012-10-22,,21.0,,,,,,,,
HAMMER & SICKLE,2005-12-05,,,,TURN-BASED TACTICS,PC,NOVIK & CO,CDV SOFTWARE,RATED T FOR TEEN,7.8,13.0
HAMMERFIGHT,2009-09-14,,112.0,,,,,,,,
HAMMERTING,2020-10-26,,15.0,,,,,,,,
HAMMERTING,2020-10-27,,,,STRATEGY,PC,WARPZONE STUDIOS,TEAM17,,4.0,5.0
HAMMERWATCH,2013-08-11,,168.0,72.0,,,,,,,
HAMMERWATCH II,2023-08-15,,,,ACTION RPG,PC,CRACKSHELL,MODUS GAMES,,0.0,0.0
HAMSTERDAM,2019-08-01,,,,3D BEAT-'EM-UP,PC,MUSE GAMES,MUSE GAMES,RATED E +10 FOR EVERYONE +10,0.0,0.0
HAMTARO HAMHAM GAMES,2004-07-27,,,,ATHLETICS,GAME BOY ADVANCE,ALPHADREAM CORPORATION,NINTENDO,RATED E FOR EVERYONE,7.5,6.0
HAMTARO HAMHAM HEARTBREAK,2003-04-08,,,,ACTION,GAME BOY ADVANCE,PAX SOFTONICA,NINTENDO,RATED E FOR EVERYONE,7.4,14.0
HANAKO: HONOR & BLADE,,EVERYONE,2.0,,,,,,,,
HAND OF FATE,2015-02-16,,314.0,78.0,,,,,,,
HAND OF FATE,,,,,BOARD,PC,,,,0.0,0.0
HAND OF FATE 2,2017-11-06,,130.0,81.0,,,,,,,
HAND OF FATE 2,2017-11-07,,,,BOARD,PC,DEFIANT DEVELOPMENT,DEFIANT DEVELOPMENT,,7.3,88.0
HAND OF THE GODS,2017-09-12,TEEN,38.0,,,,,,,,
HAND SIMULATOR,2017-07-14,,156.0,,,,,,,,
HAND SIMULATOR: SURVIVAL,2019-12-17,,20.0,,,,,,,,
HANGOVER,2018-01-09,,7.0,,,,,,,,
HANK HAZARD,2011-12-22,,,,EDUTAINMENT,IOS (IPHONE/IPAD),CHILLINGO,CHILLINGO,,0.0,0.0
HANNSPREE TEN KATE HONDA SBK SUPERBIKE WORLD CHAMPIONSHIP,2007-10-29,,,,AUTO RACING SIM,PLAYSTATION 2,MILESTONE S.R.L,VALCON GAMES,RATED E +10 FOR EVERYONE +10,0.0,0.0
HANS CHRISTIAN ANDERSEN THE UGLY PRINCE DUCKLING,2007-03-20,,,,ADVENTURE,PC,GUPPYWORKS,THE ADVENTURE COMPANY,RATED E FOR EVERYONE,0.0,0.0
HAPPY DUNGEONS,2016-10-05,TEEN,38.0,,,,,,,,
HAPPY FEET,2006-11-13,,,,PARTY,PC,ARTIFICIAL MIND AND MOVEMENT,MIDWAY,RATED E FOR EVERYONE,6.0,7.0
HAPPY GAME,2021-10-28,,42.0,,,,,,,,
HAPPY GAME,2021-10-28,,,,ADVENTURE,NINTENDO SWITCH,AMANITA DESIGN,AMANITA DESIGN,,7.5,19.0
HAPPY TREE FRIENDS FALSE ALARM,2008-06-25,,,,ACTION,PC,STAINLESS GAMES,SEGA,RATED M FOR MATURE,5.8,5.0
HAPPY WARS,2012-10-12,TEEN,183.0,,,,,,,,
HAPPY WARS,2012-10-12,,,,ACTION,XBOX 360,TOYLOGIC,MICROSOFT GAME STUDIOS,RATED T FOR TEEN,7.0,132.0
HAPPY'S HUMBLE BURGER BARN,2020-03-20,,7.0,,,,,,,,
HARALD: A GAME OF INFLUENCE,2017-09-28,EVERYONE 10+,5.0,,,,,,,,
HARBINGER,2003-02-26,,,,ACTION RPG,PC,SILVERBACK ENTERTAINMENT,DREAMCATCHER INTERACTIVE,RATED T FOR TEEN,7.5,16.0
HARD CORPS UPRISING,2011-02-16,,,,2D PLATFORMER,XBOX 360,ARC SYSTEM WORKS,KONAMI,RATED T FOR TEEN,7.1,26.0
HARD CORPS: UPRISING,2011-02-16,TEEN,55.0,,,,,,,,
HARD LINES,2011-06-09,,,,ACTION,IOS (IPHONE/IPAD),SPILT MILK STUDIOS LTD,SPILT MILK STUDIOS LTD,,0.0,0.0
HARD RESET,2011-09-13,,71.0,,,,,,,,
HARD RESET,2011-09-13,,,,FPS,PC,FLYING WILD HOG,FLYING WILD HOG,RATED M FOR MATURE,7.3,374.0
HARD RESET EXTENDED EDITION,2012-07-12,,207.0,73.0,,,,,,,
HARD RESET REDUX,2016-06-02,,130.0,73.0,,,,,,,
HARD RESET REDUX,2016-06-03,,,,FPS,PLAYSTATION 4,FLYING WILD HOG,GAMBITIOUS,RATED M FOR MATURE,6.7,20.0
HARD ROCK CASINO,2007-04-24,,,,GAMBLING,PSP,FARSIGHT STUDIOS,CRAVE,RATED T FOR TEEN,0.0,0.0
HARD ROOM,2016-01-21,,12.0,,,,,,,,
HARD TO BE A GOD,2007-10-19,,,,WESTERN RPG,PC,BURUT SOFTWARE,AKELLA,,7.0,24.0
HARD TRUCK 2: KING OF THE ROAD,2001-06-07,EVERYONE,101.0,,,,,,,,
HARD TRUCK APOCALYPSE,2006-06-26,,,,VEHICLE COMBAT SIM,PC,BUKA ENTERTAINMENT,CDV SOFTWARE,RATED T FOR TEEN,8.4,71.0
HARD TRUCK: APOCALYPSE,2006-06-19,TEEN,110.0,45.0,,,,,,,
HARD TRUCK: APOCALYPSE - ARCADE,2007-05-24,,17.0,,,,,,,,
HARD TRUCK: APOCALYPSE - RISE OF CLANS,2007-10-01,,62.0,,,,,,,,
HARD WEST,2015-11-17,TEEN,168.0,73.0,,,,,,,
HARD WEST,2015-11-18,,,,TURN-BASED TACTICS,PC,CREATIVEFORGE GAMES,GAMBITIOUS,,7.3,177.0
HARD WEST 2,2022-08-04,,16.0,,,,,,,,
HARD WEST 2,2022-08-04,,,,TURN-BASED TACTICS,PC,ICE CODE GAMES,GOOD SHEPHERD ENTERTAINMENT,,7.4,35.0
HARDCORE MECHA,2020-01-14,,,,2D PLATFORMER,PLAYSTATION 4,ROCKETPUNCH GAMES,ARC SYSTEM WORKS,,7.1,24.0
HARDCUBE,2016-06-30,EVERYONE,6.0,,,,,,,,
HARDSPACE SHIPBREAKER,2022-05-24,,,,VIRTUAL CAREER,PC,BLACKBIRD INTERACTIVE,FOCUS ENTERTAINMENT,,7.6,50.0
HARDSPACE: SHIPBREAKER,2022-05-23,,75.0,82.0,,,,,,,
